price,id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_rating,review_scores_checkin,review_scores_location,instant_bookable,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,num_host_verif,num_amenities,is_private_bath,room_type2,host_years,last_review_date,region,num_proximity,local_host
115,109,521,0,0,0,1,1,33.98209,-118.38494,2,2,3,30,730,730,0,207,2,0,80,6,10,0,0,0,0.02,8,24,0,4,12.40821918,4.526027397,Westside,335,0
75,2708,3008,100,100,1,2,1,34.09768,-118.34602,1.5,1,1,30,366,1125,30,335,27,1,97,10,10,1,2,0,0.35,7,40,0,2,12.18630137,0.131506849,Central L.A.,2197,1
155,2732,3041,92,50,0,2,1,34.00475,-118.48127,1,1,1,1,180,180,60,365,21,0,94,9,10,0,1,0,0.18,8,17,1,2,12.18356164,0.907103825,Westside,1808,0
70,5729,9171,89,94,1,8,1,33.9875,-118.432,1,1,1,30,1125,1125,53,358,230,0,95,10,10,0,3,0,1.69,9,20,0,2,11.72054795,0.619178082,Westside,1203,1
135,5843,9171,89,94,1,8,1,33.9875,-118.432,1,2,2,30,90,90,30,97,128,0,93,10,10,0,3,0,1.12,9,31,0,4,11.72054795,0.254794521,Westside,1203,1
73,6931,3008,100,100,1,2,1,34.09521,-118.34801,1.5,1,2,30,366,1125,40,344,22,1,97,10,10,1,2,0,0.16,7,37,0,2,12.18630137,0.167123288,Central L.A.,2217,1
122,8770,26996,0,80,1,1,0,33.99399,-118.45637,1,0,2,3,22,22,0,200,401,0,94,10,10,0,0,0,3.02,4,23,0,4,11.33972603,0.745901639,Westside,1894,0
85,9376,30319,100,100,1,2,1,33.99638,-118.47734,1,1,1,30,730,730,28,333,47,0,94,10,10,0,1,0,0.35,9,21,0,2,11.29589041,0.754098361,Westside,1856,1
74,10760,38596,0,0,0,1,1,34.05437,-118.35641,2,1,2,30,1125,1125,58,87,45,0,99,10,10,0,1,0,0.34,6,32,0,2,11.19178082,1.438356164,Central L.A.,1193,1
195,11511,40884,100,100,1,2,0,34.11479,-118.32289,1,1,1,30,365,365,0,295,7,0,97,10,10,0,0,0,0.05,3,24,0,4,11.16438356,5.279452055,Central L.A.,1655,1
70,11877,30484,90,42,1,3,1,33.99753,-118.47226,1,0,2,30,150,150,5,5,45,0,96,10,10,0,1,0,0.41,4,25,0,4,11.29315068,1.030136986,Westside,1928,1
155,12320,47757,0,67,1,1,0,34.05864,-118.34352,1,2,3,30,120,120,0,0,10,0,98,10,10,0,0,0,0.38,4,34,0,4,11.08767123,0.841530055,Central L.A.,1147,0
