"","Overall"
"host_response_rate",39.1938309222895
"host_acceptance_rate",46.9470682557122
"host_is_superhost",16.4018393251516
"host_listings_count",54.9327817512723
"host_identity_verified",4.57016973289829
"latitude",79.0342653865463
"longitude",97.1133934852019
"bathrooms",60.42329853807
"bedrooms",74.3739752676344
"beds",30.5318216558977
"minimum_nights",100
"maximum_nights",27.0855369652016
"maximum_nights_avg_ntm",21.2238880569566
"availability_60",74.8506407607434
"availability_365",54.2202407062789
"number_of_reviews",37.4635881969455
"number_of_reviews_l30d",7.64657165033347
"review_scores_rating",47.2519262153422
"review_scores_checkin",0
"review_scores_location",20.2529501742877
"instant_bookable",7.26280231176757
"calculated_host_listings_count_private_rooms",26.8628466397674
"calculated_host_listings_count_shared_rooms",22.0139852109002
"reviews_per_month",44.5514906124849
"num_host_verif",24.3461164246778
"num_amenities",73.4487976714547
"is_private_bath",34.4589451272827
"room_type2",78.6593063151532
"host_years",48.8984644862042
"last_review_date",43.4699990019781
"region1",7.12985521115807
"region2",4.94018015390272
"region3",12.9686754988891
"region4",12.9459196404869
"num_proximity",77.5260771276195
"local_host",10.4596884053572
